,theta,time,camera_state
0,6.1834824020823245,1701973266.6628509,on
1,6.1788690100385315,1701973267.0353246,on
2,6.178237925770402,1701973267.3781312,on
3,6.134062653205506,1701973267.6623163,on
4,6.079592747684891,1701973267.9461336,on
5,5.977741338741762,1701973268.2858596,on
6,5.8725786765856105,1701973268.6640718,on
7,5.714403393273706,1701973269.013974,on
8,5.654527682368284,1701973269.2940483,on
9,5.591847263113313,1701973269.5453458,on
10,5.499819236590795,1701973269.8530147,on
11,5.467414327024762,1701973270.1632369,on
12,5.466078150754122,1701973270.4455729,on
13,5.434093675715674,1701973270.712126,on
14,5.432542566535476,1701973270.9851208,on
15,5.4068888670903,1701973271.2623868,on
16,5.436669302485699,1701973271.5277736,on
17,5.427020049690637,1701973271.7904568,off
18,5.423355049792652,1701973272.0621572,off
19,5.417999827358629,1701973272.3278935,off
20,5.4159098626486255,1701973272.593865,off
21,5.4061486351566925,1701973272.8619456,off
22,5.397307772387982,1701973273.1110647,off
23,5.3892689435888155,1701973273.3779416,off
24,5.382838995497188,1701973273.650384,off
25,5.378357869690326,1701973273.9259894,off
26,5.375246809531097,1701973274.1944838,off
27,5.3751986586403815,1701973274.4618514,off
28,5.3762451850720385,1701973274.7273352,off
29,5.378222190019419,1701973275.111384,off
30,5.379887669167392,1701973275.477041,off
31,5.380821754384748,1701973275.84371,off
32,5.379706159463924,1701973276.1647968,off
33,5.377279602003598,1701973276.4437993,off
34,5.375158579355609,1701973276.7438655,off
35,5.365594566587129,1701973277.1250253,off
36,5.357250673631308,1701973277.4770672,off
37,5.349949347985289,1701973277.8271952,off
38,5.3447324238789164,1701973278.0977824,off
39,5.34107551307163,1701973278.3761458,off
40,5.3488139499406175,1701973278.6421225,off
41,5.360056422287896,1701973278.8921583,off
42,5.371331921217263,1701973279.1614316,off
43,5.399532841406107,1701973279.4425554,off
44,5.4536589948787295,1701973279.7762024,off
45,5.524393011225127,1701973280.0423026,off
46,5.595412716518042,1701973280.3590393,off
47,5.709523551806816,1701973280.692642,off
48,5.839787595613759,1701973280.965223,off
49,5.958805494435822,1701973281.2254405,off
50,6.068664641365148,1701973281.5085404,off
51,6.203947593118261,1701973281.8742769,off
52,0.03452114975147099,1701973282.13999,off
53,0.12427943455542918,1701973282.4082255,off
54,0.20598242345451429,1701973282.6937199,off
55,0.2834221668235398,1701973283.0466802,off
56,0.33112621237314155,1701973283.3738365,off
57,0.5068887715240873,1701973283.6451085,on
58,0.44457867247531047,1701973283.9243553,on
59,0.390558808852913,1701973284.1918387,on
60,0.3069548343464339,1701973284.472365,on
61,0.2550928991134238,1701973284.739999,on
62,0.17507935142765263,1701973285.1076155,on
63,0.08554899693687384,1701973285.4750657,on
64,0.04121703407629112,1701973285.8284876,on
65,0.0003730559202943795,1701973286.0904775,on
66,6.281050601374687,1701973286.357034,on
67,6.281323644705842,1701973286.6403496,on
68,0.07814388724001553,1701973286.8894935,on
69,0.04028114826975321,1701973287.1578536,on
70,6.2427835301564905,1701973287.449146,on
71,6.2806685723397,1701973287.7628467,off
72,6.261750054494644,1701973288.039784,off
73,6.22773982004441,1701973288.3235717,off
74,6.204287355677676,1701973288.6064117,off
75,6.203393624379073,1701973288.930431,off
76,6.219297582407152,1701973289.250578,off
77,6.2424214349192475,1701973289.5257638,off
78,6.273210195381603,1701973289.8773308,off
79,0.022782838469289836,1701973290.1410837,off
80,0.05088354774856378,1701973290.3941684,off
81,0.06936442161111245,1701973290.672076,off
82,0.07715072857246388,1701973291.0534725,off
83,0.06449159358673762,1701973291.3722432,off
84,0.037699329372652725,1701973291.6553931,off
85,0.005597796184084697,1701973291.941636,off
86,6.257899227921591,1701973292.297157,off
87,6.232694645563107,1701973292.5713084,off
88,6.222338107216852,1701973292.8545465,off
89,6.222661405726282,1701973293.1217916,off
90,6.229005320775502,1701973293.4710224,off
91,6.239144076119529,1701973293.7374218,off
92,6.239493541686658,1701973293.987368,on
93,0.037370385702654024,1701973294.2714128,on
94,0.0402205736098014,1701973294.5372639,on
95,0.002228142678517675,1701973294.8072467,on
96,0.03816167754172195,1701973295.070071,on
97,0.04012117454668622,1701973295.325487,on
98,0.04028526936537258,1701973295.5882602,on
99,0.0018934937778444585,1701973295.889357,on
100,0.00013944555573146625,1701973296.2368546,on
101,6.282997901256251,1701973296.5032718,on
102,0.03830246245595047,1701973296.7860494,on
103,0.08182905866794299,1701973297.0369158,on
104,0.04426148710783594,1701973297.3050218,on
105,0.04209563545377948,1701973297.5847905,on
106,0.04211287519375632,1701973297.8378599,on
107,0.04052217579018458,1701973298.1060207,on
108,0.04047881702559824,1701973298.3854218,on
109,0.04058109916376012,1701973298.6361434,on
110,0.04031305212284276,1701973298.9353685,on
111,0.04092300712195779,1701973299.2519743,on
112,0.04144226361305023,1701973299.5358853,on
113,0.0017159002932289058,1701973299.8021667,on
114,0.04065405072870823,1701973300.0742102,on
115,0.04287551487782381,1701973300.3353484,on
116,0.1230384495540187,1701973300.7026494,on
117,0.08644736894023708,1701973301.0581002,on
118,0.002221199794401857,1701973301.3333743,on
119,6.2785383322721025,1701973301.58863,on
120,6.199500689598634,1701973301.8680434,on
121,6.110220599969233,1701973302.140945,on
122,6.070594781601526,1701973302.407409,on
123,5.942052100585709,1701973302.6719215,on
124,5.899956031834614,1701973302.9340966,on
125,5.823022394238007,1701973303.188283,on
126,5.802066672434237,1701973303.4687722,on
127,5.73003684680086,1701973303.7340393,on
128,5.692472508281475,1701973304.0008783,on
129,5.669137481154161,1701973304.2672694,on
