,theta,time,camera_state
0,6.1802199001060885,1701973266.661837,on
1,6.1802199001060885,1701973267.0353246,on
2,6.1802057961570185,1701973267.3771408,on
3,6.133783597742216,1701973267.6623163,on
4,6.080147583280699,1701973267.9461336,on
5,5.977867696677343,1701973268.2858596,on
6,5.875627104436056,1701973268.6640718,on
7,5.714365247880117,1701973269.013974,on
8,5.6529985705958765,1701973269.2930899,on
9,5.591097001229421,1701973269.5453458,on
10,5.49685770670046,1701973269.8530147,on
11,5.467324022446768,1701973270.1632369,on
12,5.467210237179891,1701973270.4455729,on
13,5.432839337979452,1701973270.712126,on
14,5.433111373578207,1701973270.9831512,on
15,5.40570176044573,1701973271.260364,on
16,5.439371589814321,1701973271.5277736,on
17,5.427020049690637,1701973271.7894561,off
18,5.423355049792652,1701973272.0621572,off
19,5.417999827358629,1701973272.3278935,off
20,5.4159098626486255,1701973272.5928051,off
21,5.4061486351566925,1701973272.8599334,off
22,5.397307772387982,1701973273.1110647,off
23,5.3892689435888155,1701973273.3779416,off
24,5.382838995497188,1701973273.650384,off
25,5.378357869690326,1701973273.9146354,off
26,5.375246809531097,1701973274.1944838,off
27,5.3751986586403815,1701973274.4618514,off
28,5.3762451850720385,1701973274.7273352,off
29,5.378222190019419,1701973275.111384,off
30,5.379887669167392,1701973275.477041,off
31,5.380821754384748,1701973275.84371,off
32,5.379706159463924,1701973276.1647968,off
33,5.377279602003598,1701973276.4437993,off
34,5.375158579355609,1701973276.7417965,off
35,5.365594566587129,1701973277.1101532,off
36,5.357250673631308,1701973277.4770672,off
37,5.349949347985289,1701973277.8271952,off
38,5.3447324238789164,1701973278.0977824,off
39,5.34107551307163,1701973278.3761458,off
40,5.3488139499406175,1701973278.6421225,off
41,5.360056422287896,1701973278.8921583,off
42,5.371331921217263,1701973279.1614316,off
43,5.399532841406107,1701973279.4425554,off
44,5.4536589948787295,1701973279.7762024,off
45,5.524393011225127,1701973280.0423026,off
46,5.595412716518042,1701973280.3590393,off
47,5.709523551806816,1701973280.692642,off
48,5.839787595613759,1701973280.963313,off
49,5.958805494435822,1701973281.2254405,off
50,6.068664641365148,1701973281.5085404,off
51,6.203947593118261,1701973281.861333,off
52,0.03452114975147099,1701973282.1260123,off
53,0.12427943455542918,1701973282.4082255,off
54,0.20598242345451429,1701973282.6916764,off
55,0.2834221668235398,1701973283.0456789,off
56,0.33112621237314155,1701973283.3738365,off
57,0.5070707201957703,1701973283.6451085,on
58,0.44712039828300476,1701973283.9243553,on
59,0.3897218704223633,1701973284.1918387,on
60,0.3074517250061035,1701973284.4602559,on
61,0.2540687024593353,1701973284.7389793,on
62,0.17760425806045532,1701973285.1076155,on
63,0.08480079472064972,1701973285.473069,on
64,0.0418362021446228,1701973285.8284876,on
65,6.282111110758045,1701973286.0904775,on
66,6.282111060000965,1701973286.357034,on
67,6.282111412855805,1701973286.638338,on
68,0.08480557799339294,1701973286.8894935,on
69,0.04014769569039345,1701973287.1578536,on
70,6.23931730190386,1701973287.4481459,on
71,6.2806685723397,1701973287.7628467,off
72,6.261750054494644,1701973288.038777,off
73,6.22773982004441,1701973288.3235717,off
74,6.204287355677676,1701973288.6064117,off
75,6.203393624379073,1701973288.930431,off
76,6.219297582407152,1701973289.2495975,off
77,6.2424214349192475,1701973289.5248127,off
78,6.273210195381603,1701973289.875295,off
79,0.022782838469289836,1701973290.1400847,off
80,0.05088354774856378,1701973290.3941684,off
81,0.06936442161111245,1701973290.672076,off
82,0.07715072857246388,1701973291.0451574,off
83,0.06449159358673762,1701973291.3722432,off
84,0.037699329372652725,1701973291.6553931,off
85,0.005597796184084697,1701973291.9396307,off
86,6.257899227921591,1701973292.297157,off
87,6.232694645563107,1701973292.5713084,off
88,6.222338107216852,1701973292.8539782,off
89,6.222661405726282,1701973293.1217916,off
90,6.229005320775502,1701973293.4710224,off
91,6.239144076119529,1701973293.7359164,off
92,6.239408571516172,1701973293.987368,on
93,0.04219391942024231,1701973294.2714128,on
94,0.0404847115278244,1701973294.5233216,on
95,6.28239932767908,1701973294.8052456,on
96,0.04049395024776459,1701973295.070071,on
97,0.04049862548708916,1701973295.325487,on
98,0.04050386697053909,1701973295.5882602,on
99,6.2823994529419664,1701973295.8873396,on
100,6.2823996079489675,1701973296.2368546,on
101,6.282399303406486,1701973296.5032718,on
102,0.04052423685789108,1701973296.7700722,on
103,0.08490417897701263,1701973297.0369158,on
104,0.04220898076891899,1701973297.3050218,on
105,0.04221422225236893,1701973297.571,on
106,0.042218826711177826,1701973297.8378599,on
107,0.04050680622458458,1701973298.1060207,on
108,0.04051144793629646,1701973298.3854218,on
109,0.04051661118865013,1701973298.6361434,on
110,0.04052182286977768,1701973298.9205916,on
111,0.040528304874897,1701973299.2519743,on
112,0.040492065250873566,1701973299.5358853,on
113,6.282327400065036,1701973299.8021667,on
114,0.042216986417770386,1701973300.0742102,on
115,0.04222160205245018,1701973300.3353484,on
116,0.12702490389347076,1701973300.7026494,on
117,0.08491312712430954,1701973301.0581002,on
118,6.282255518842497,1701973301.3199117,on
119,6.282255879671787,1701973301.58863,on
120,6.1988167131887835,1701973301.8680434,on
121,6.108330715690748,1701973302.140945,on
122,6.074033413325445,1701973302.407409,on
123,5.939729336892263,1701973302.6719215,on
124,5.899343315755026,1701973302.9340966,on
125,5.821483168994085,1701973303.188283,on
126,5.8035829106913965,1701973303.4687722,on
127,5.7277982274638575,1701973303.7340393,on
128,5.691862706338064,1701973304.0008783,on
129,5.6695244948016565,1701973304.2672694,on
